userId,age,gender,registrationDate,languageCode,countryCode,emailContactable,postalContactable,postalCode,numberChildren,lastActivityDate,reactivationValue,toothBrushType,detergentType,MrPropreTrier,AntikalTrier,ArielTrier,DashTrier,scentLover,petOwner,ecoInterest,closestShop,washDishes
use_XbA1FTDcCrTMNTHK1851TzjyPMP,24,F,2019-10-14T17:33:37Z,fr,FRA,True,True,68540,1,2020-08-04T09:19:40.72668Z,Lapsing,Manual,Liquid,,,,,NonUser,Yes,,,Auto
use_3WHgsMVGSg5MHG2zja91TzdfmY2,67,F,2017-07-25T07:00:31Z,fr,FRA,True,True,17390,3,2021-05-11T05:27:04.43326Z,Active,Manual,Pods,Known Trier,Known Trier,Known Trier,,,No,High,,Auto
use_2SisOiR8QwDaHI4svm11TzcvK7V,45,F,2015-06-25T00:00:00Z,fr,FRA,True,True,30200,1,2021-01-29T09:22:30.011639Z,Active,Manual,Liquid,,,Known Trier,Known Trier,NonUser,Yes,High,,Auto
use_W0T1LmfKaQPJYD1RTWh1Tzdc69H,35,F,2018-01-31T07:24:39Z,fr,FRA,True,True,61400,2,2020-07-03T20:36:10.177493Z,Active,Manual,Pods,,,Known Trier,Known Trier,Low,Yes,Medium,,Hand
use_KwYWZ7UMl4veveOaPGK1TzddtmI,38,F,2016-01-26T11:42:17Z,fr,FRA,True,True,30620,0,2021-01-01T14:41:20.951078Z,Active,Electric,Liquid,Known Trier,Known Trier,Known Trier,Known Trier,,Yes,Low,,Hand
use_OwO9hH8H8jgGRRpUpm41Tzdup7u,58,M,2010-08-02T00:00:00Z,fr,FRA,False,True,10700,3,2020-05-01T17:07:51.603124Z,Lapsed,Electric,Liquid,,,,,,No - maybe future,Very high,,Hand
use_eL9xzLvFLB9ZCuPjndH1Tzdvr4H,31,F,2014-01-09T00:00:00Z,fr,FRA,True,True,72100,2,2020-12-06T07:01:13.638022Z,Active,Manual,Pods,,,,,NonUser,No - maybe future,Medium,,Hand
use_mPNSP3nEC4bTRGfncp71TzeOHjE,40,F,2018-11-04T18:38:53Z,fr,FRA,True,True,95360,4+,2021-04-06T21:05:30.678226Z,Active,Manual,Pods,,,Known Trier,,Medium,No - maybe future,,,Auto
use_R0taCoS7KhTLckGDVv71TzdaNOn,32,F,2018-10-13T01:23:51Z,fr,FRA,True,True,08150,2,2021-02-19T13:01:03.547478Z,Active,Manual,Liquid,,,Known Trier,,NonUser,Yes,,,Auto
use_h4Mt2pWQVpWiotQ8W781TZU8QJo,25,F,2015-09-13T16:26:20Z,fr,FRA,True,True,22540,0,2021-05-06T17:38:39.003328Z,Active,Electric,Pods,,,,Known Trier,NonUser,No - maybe future,Low,,Auto
use_4MxXFT0pu3XAR6YWfmA1TzdJnWO,54,F,2008-07-07T00:00:00Z,fr,FRA,True,True,33220,1,2021-04-07T23:04:26.966184Z,Active,Manual,Liquid,,,,,Medium,Yes,Medium,,Hand
use_4rhx7tMU8jElzGn2Ddd1Tzdxbsx,37,F,2019-04-09T13:07:15Z,fr,FRA,True,True,26300,3,2020-12-05T15:48:24.171391Z,Active,Manual,,,,,,Low,No - maybe future,,,Auto
use_hwo1eK8t5saSIhI6Ael1TzfrIiM,48,F,2015-10-29T01:12:31Z,FR,FRA,True,True,41400,1,2020-12-25T10:29:54.079974Z,Active,Electric,Pods,Known Trier,,,,Low,No - maybe future,,,Hand
use_qOH3WJUNDlWWq0a7yss1TzeBGFu,43,M,2011-04-11T00:00:00Z,fr,FRA,True,True,62990,0,2021-05-19T15:05:24.511773Z,Active,Electric,Pods,,Known Trier,Known Trier,,NonUser,Yes,Medium,,Auto
use_9ZzloUyq2cMlAsRbenn1TzdhQ15,51,F,2010-06-09T00:00:00Z,fr,FRA,True,True,21270,2,2021-02-09T07:56:56.186432Z,Active,,,,,Known Trier,,,No - maybe future,Medium,,Hand
