,userId,emailOpened,emailClicked,productReviewed,searchSite,RCAD,RCP,couponRed,score_event
0,use_bw7Dd2MM9RLPaulrFsQ1TzdmFsi,,,,,,,,
1,use_zfO6MmwMKMABup7Fs9E1TzdcfQy,,,,,,,,
2,use_ejDjloCwQD84hJpLAAs1TzdfSXa,,,,,,,,
3,use_CAJDPBtqY7NfMHkKbYQ1TzdcUuk,,,,,,,,
4,use_azRTZAf4XAfhkCMfvQz1TzdppT4,,,,,,,,
5,use_JRzcTBqwvYP1AHn7T3S1TzdMeZw,,,,,,,,
6,use_uhNgxSPcOgFrXweZcOY1TzeiMZG,,,,,,,,
7,use_fYnyOW4wkuuXYRkkGzA1TzeAdVO,,,,,,,,
8,use_l4q1irpavPMqczFjVuL1TzdnqBO,,,,,,,,
9,use_eURO1pnsh2yRRzy6BdY1TzdnLYs,,,,,,,,
10,use_4Aodj7FswGfn3irFKaZ1Tze6pcx,,,,,,,,
11,use_kN0Lo0G3vTmx2N5qYRu1Tzddf8h,,,,,,,,
12,use_MvNV3Wn9QIhH0Rr4TZo1TzdjhsB,,,,,,,,
13,use_XuCgk3Vk8vHlAAvMZDJ1Tzdky1F,,,,,,,,
14,use_lBev4g8rL8fDKKu4Y951Tze17KW,,,,,,,,
15,use_nSY9joDfPuxrBWdfEY61TzdnDWI,,,,,,,,
16,use_MW6QXN9ymZ9Xu2eSZna1Tze3x1N,,,,,,,,
17,use_qFM9HJX29nFGpjEdwF91TzcTCum,,,,,,,,
18,use_PVa8m427flHlxoAZeJi1TzdozxT,,,,,,,,
19,use_rO2WpfXAT4n2ZqnbT1C1TzdmWTI,,,,,,,,
20,use_2whI72tdZYnQvEJPgfU1TzdePi3,,,,,,,,
21,use_nVKNWu8IIo7OoSdMLA51Tzflcmw,,,,,,,,
22,use_nksPXtCK4HjoLkhawoZ1TzdmZzP,,,,,,,,
23,use_QkWqWFOietZau5Qpb9U1TZU9rqY,,,,,,,,
24,use_kpIEZpMr6u1OrQZkE9M1Tzdq0ML,,,,,,,,
25,use_bZ7hr2fHGNW26Pe5YhS1TzdeQbb,,,,,,,,
26,use_4ZOnuzvhorC1gV48yHb1TzdhRwO,,,,,,,,
27,use_OvtlfcVNs8ULRRGdtil1TzeHbSj,,,,,,,,
28,use_ZJUwyDSd3gnIRrZPESj1TzdZdLC,,,,,,,,
29,use_38UOXOCcmm29WyNjdoH1Tzg87f9,,,,,,,,
30,use_CEhc0kXnX7tKQkY714z1TzdZzvC,,,,,,,,
31,use_dgCvogD85TfravjNwlC1Tzdz1Hz,,,,,,,,
32,use_gUa9TSw2ghtrqv9mgWn1TzdaXWX,,,,,,,,
