,age,gender,emailContactable,postalContactable,postalCode,numberChildren,reactivationValue,toothBrushType,MrPropreTrier,AntikalTrier,ArielTrier,DashTrier,scentLover,petOwner,ecoInterest,washDishes,liquidDetergent,podsDetergent,powderDetergent,pc_score,postalScore,score_event
0,25,1,1,1,68,1,2,0,0,0,0,0,0,1,0,1,1,0,0,2,113,0
1,65,1,1,1,17,3,4,0,1,1,1,0,0,0,3,1,0,1,0,3,106,1
2,45,1,1,1,30,1,4,0,0,0,1,1,0,1,3,1,1,0,0,3,124,0
3,35,1,1,1,61,2,4,0,0,0,1,1,1,1,2,0,0,1,0,3,70,0
4,35,1,1,1,30,0,4,1,1,1,1,1,0,1,1,0,1,0,0,3,124,0
5,55,0,0,1,10,3,3,1,0,0,0,0,0,0,4,0,1,0,0,3,87,0
6,35,1,1,1,72,2,4,0,0,0,0,0,0,0,2,0,0,1,0,3,148,0
7,45,1,1,1,95,5,4,0,0,0,1,0,2,0,0,1,0,1,0,4,200,1
8,35,1,1,1,8,2,4,0,0,0,1,0,0,1,0,1,1,0,0,2,82,1
9,25,1,1,1,22,0,4,1,0,0,0,1,0,0,1,1,0,1,0,1,102,0
10,55,1,1,1,33,1,4,0,0,0,0,0,2,1,2,0,1,0,0,2,296,1
11,35,1,1,1,26,3,4,0,0,0,0,0,1,0,0,1,0,0,0,3,70,2
12,45,1,1,1,41,1,4,1,1,0,0,0,1,0,0,0,0,1,0,3,67,0
13,45,0,1,1,62,0,4,1,0,1,1,0,0,1,2,1,0,1,0,4,616,0
14,55,1,1,1,21,2,4,0,0,0,1,0,0,0,2,0,0,0,0,2,107,0
15,45,1,1,1,34,2,4,1,0,0,0,0,0,0,3,1,0,1,0,4,192,0
16,25,1,1,1,37,0,4,1,0,0,1,0,0,1,0,0,0,1,0,2,148,0
17,55,1,1,1,67,1,4,0,1,1,1,0,0,1,3,1,0,0,0,2,169,3
18,25,0,1,1,31,0,4,0,1,1,1,1,0,0,2,1,0,1,0,2,200,3
19,35,1,1,1,77,2,4,0,0,0,1,0,1,1,0,0,1,0,0,3,232,0
20,35,1,1,0,78,2,4,0,1,0,1,1,2,0,1,0,0,1,0,3,238,0
21,55,1,1,1,92,2,4,1,0,0,0,0,3,0,1,1,1,0,0,3,193,4
22,35,1,1,1,2,1,4,1,0,0,1,1,0,1,3,0,0,0,1,3,209,1
23,55,1,1,1,66,0,4,0,0,0,0,0,0,1,3,0,1,0,0,3,73,2
24,45,1,1,1,62,2,4,1,0,0,1,1,3,0,4,0,1,0,0,4,616,0
25,45,1,1,1,38,2,1,1,1,0,1,1,0,1,0,1,0,1,0,4,165,0
26,45,1,1,1,10,0,4,1,0,0,1,1,0,0,0,0,1,0,0,3,87,0
27,55,1,1,1,94,2,4,0,1,0,0,1,0,1,1,0,0,0,0,3,199,0
28,45,1,1,1,80,2,4,1,1,0,0,0,0,1,3,0,1,0,0,3,216,0
29,65,0,1,1,59,0,3,0,1,0,1,1,0,0,0,0,0,1,0,4,808,0
30,45,1,1,1,14,3,4,0,0,0,0,0,3,0,2,0,0,0,0,3,115,0
31,35,1,1,1,35,2,3,0,0,1,0,1,1,1,0,1,1,0,0,1,170,0
32,35,1,1,1,80,1,3,0,0,0,0,0,0,0,2,0,1,0,0,3,216,0
33,55,1,0,1,90,1,3,1,0,0,0,0,0,0,2,1,0,1,0,2,15,0
34,55,1,1,1,92,2,4,1,0,0,1,1,0,0,1,1,0,1,0,3,193,2
35,65,1,1,0,26,3,1,0,0,0,1,0,1,1,0,1,0,1,0,3,70,0
36,45,1,1,1,62,0,4,0,0,0,0,1,0,1,3,1,0,1,0,4,616,0
37,35,1,1,1,7,1,2,0,0,0,0,0,0,1,0,1,0,1,0,2,36,0
38,45,1,1,1,44,3,4,0,0,0,0,0,0,1,3,1,0,1,0,2,260,1
39,35,1,1,1,6,2,3,0,0,0,0,0,0,0,1,1,1,0,0,4,129,0
40,35,1,1,0,2,1,4,0,0,0,0,0,0,0,0,1,0,1,0,3,209,0
41,35,1,1,1,59,2,4,0,1,0,1,1,0,1,0,0,1,0,0,4,808,0
42,35,1,1,1,72,2,4,0,0,0,0,0,0,1,3,1,0,1,0,3,148,2
43,55,1,1,1,91,0,4,1,0,0,1,0,3,0,3,0,0,1,0,3,207,2
44,55,1,1,1,75,2,4,0,0,0,0,0,3,0,0,0,1,0,0,3,128,1
45,55,1,1,1,29,3,2,0,0,0,0,0,3,1,0,0,0,1,0,1,188,0
46,25,1,1,1,14,0,4,0,1,1,1,1,0,0,2,0,1,0,0,3,115,0
47,25,1,1,1,79,3,3,1,0,0,1,0,0,1,3,0,1,0,0,2,70,0
48,25,1,1,1,91,2,4,0,0,0,1,1,1,1,0,0,1,0,0,3,207,1
49,35,1,1,1,69,0,4,0,0,0,1,1,1,0,1,1,0,0,0,2,235,0
50,55,1,1,1,72,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3,148,0
51,55,1,0,1,33,1,4,0,0,0,1,0,0,0,3,0,1,0,0,2,296,0
52,35,1,1,1,31,2,2,0,0,0,0,0,0,1,0,1,1,0,0,2,200,0
53,55,1,1,1,33,1,4,1,0,0,1,1,2,1,1,0,0,0,0,2,296,5
54,35,1,1,1,30,0,4,0,0,0,1,1,0,1,1,0,1,0,0,3,124,0
55,25,1,1,1,44,1,4,0,0,0,1,0,0,1,1,1,1,0,0,2,260,4
56,45,1,1,1,51,2,4,0,0,0,0,0,0,1,2,1,0,1,0,2,168,1
57,45,1,1,1,32,2,4,0,0,0,0,0,0,1,0,0,1,0,0,2,13,0
58,45,1,1,1,59,2,4,1,0,0,1,0,3,1,3,0,1,0,0,4,808,0
59,35,1,0,1,28,3,2,0,0,0,0,0,0,1,0,0,1,0,0,2,98,0
60,25,1,1,1,80,2,2,1,0,0,1,1,0,1,1,0,0,1,0,3,216,0
61,55,1,1,1,66,0,4,0,0,0,1,1,2,1,0,1,0,1,0,3,73,0
