Département;Dureté
1;3
2;3
3;1
4;3
5;3
6;4
7;2
8;2
9;3
10;3
11;3
12;1
13;2
14;3
15;1
16;2
17;3
18;2
19;1
20;0
21;2
22;1
23;1
24;3
25;3
26;3
27;3
28;2
29;1
30;3
31;2
32;2
33;2
34;4
35;1
36;2
37;2
38;4
39;3
40;2
41;3
42;1
43;1
44;2
45;3
46;2
47;1
48;1
49;1
50;1
51;2
52;2
53;1
54;3
55;3
56;1
57;4
58;1
59;4
60;4
61;3
62;4
63;1
64;1
65;1
66;3
67;2
68;2
69;2
70;1
71;2
72;3
73;2
74;2
75;3
76;3
77;3
78;3
79;2
80;3
81;2
82;3
83;3
84;3
85;2
86;2
87;1
88;1
89;3
90;2
91;3
92;3
93;3
94;3
95;4
2A;1
2B;1
